,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
0,1,Citizen Kane,common,Orson Welles,1941,116979,"['Drama', 'Mystery']",USA,4.2264380786295,402,749,440,2143,1946,8737,10149,29792,20724,41897
1,2,Vertigo,common,Alfred Hitchcock,1958,141672,"['Thriller', 'Mystery', 'Romance']",USA,4.21725182110791,161,394,376,1693,2220,10608,15234,39871,25420,45695
2,3,2001: A Space Odyssey,common,Stanley Kubrick,1968,231195,"['Science Fiction', 'Adventure', 'Mystery']",UK,4.34309565518286,935,1948,1008,4554,3414,14943,14478,45548,33995,110372
3,4,The Rules of the Game,common,Jean Renoir,1939,15984,"['Drama', 'Romance', 'Comedy']",France,4.08433433433434,31,69,92,323,464,1504,2034,4283,2855,4329
4,5,Tokyo Story,common,Yasujirō Ozu,1953,31165,['Drama'],Japan,4.37442643991657,38,68,66,313,366,1524,2367,7167,6405,12851
5,6,8½,common,Federico Fellini,1963,50360,"['Fantasy', 'Drama']",Italy,4.27525814138205,127,227,227,820,1041,3190,4339,11514,9518,19357
6,7,The Godfather,common,Francis Ford Coppola,1972,286889,"['Crime', 'Drama']",USA,4.5580311549066,339,649,301,1918,1529,10288,11231,51693,45858,163083
7,8,Sunrise: A Song of Two Humans,common,F.W. Murnau,1927,19814,"['Drama', 'Romance']",USA,4.21401534268699,28,67,68,262,383,1464,2193,5029,3903,6417
9,10,Seven Samurai,common,Akira Kurosawa,1954,74972,"['Action', 'Drama']",Japan,4.527730352665,55,103,56,332,414,2442,3825,14627,14544,38574
10,11,Apocalypse Now,common,Francis Ford Coppola,1979,159620,"['War', 'Drama']",USA,4.36623543415612,224,466,340,1798,1755,8972,11252,36931,31130,66752
11,12,Singin' in the Rain,common,Stanley Donen,1952,88089,"['Comedy', 'Romance', 'Music']",USA,4.27388209651602,80,191,165,1015,1247,6493,8233,23113,15311,32242
