,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
0,N/A,Parasite,lowbrow,Bong Joon-ho,2019,561865,"['Comedy', 'Drama', 'Thriller']",South Korea,4.60832851307698,472,673,393,1903,2194,12191,19067,93629,112139,319204
1,N/A,The Human Condition III: A Soldier's Prayer,lowbrow,Masaki Kobayashi,1961,3925,"['War', 'History', 'Drama']",Japan,4.50140127388535,3,5,3,15,37,123,217,728,942,1851
2,N/A,A Dog's Will,lowbrow,Guel Arraes,2000,16651,"['Comedy', 'Adventure']",Brazil,4.49192240706264,77,70,69,178,167,619,837,3063,2168,9403
3,N/A,Portrait of a Lady on Fire,lowbrow,Céline Sciamma,2019,171835,"['Drama', 'Romance']",France,4.4405883551081,229,399,347,1413,1735,6557,10800,35531,37748,77078
4,N/A,Spider-Man: Into the Spider-Verse,lowbrow,Rodney Rothman,2018,418066,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']",USA,4.42779369764583,339,813,433,2477,2682,17540,26655,102151,83155,181821
5,N/A,The Human Condition I: No Greater Love,lowbrow,Masaki Kobayashi,1959,5160,"['Drama', 'War', 'History']",Japan,4.41889534883721,8,10,9,27,28,164,372,1191,1326,2025
6,N/A,The Handmaiden,lowbrow,Park Chan-wook,2016,121043,"['Romance', 'Thriller', 'Drama']",South Korea,4.34542683178705,141,232,228,950,1272,5098,9547,31115,30429,42032
7,N/A,The Human Condition II: Road to Eternity,lowbrow,Masaki Kobayashi,1959,4004,"['War', 'History', 'Drama']",Japan,4.35227272727273,3,5,6,20,31,152,360,1026,1053,1347
8,N/A,Whiplash,lowbrow,Damien Chazelle,2014,363861,"['Drama', 'Music']",USA,4.34273802358593,476,1090,628,3611,3311,19877,25485,96924,72872,139587
9,N/A,Neon Genesis Evangelion: The End of Evangelion,lowbrow,Hideaki Anno,1997,41029,"['Fantasy', 'Action', 'Animation', 'Science Fiction', 'Drama']",Japan,4.34123424894587,164,209,186,507,678,2232,3058,8804,7465,17726
10,N/A,Barber's Tales,lowbrow,Jun Lana,2013,296,['Drama'],Philippines,4.47635135135135,1,0,0,0,2,10,23,57,68,135
11,N/A,Autumn Sonata,lowbrow,Ingmar Bergman,1978,19829,['Drama'],France,4.30132634020878,21,30,37,161,217,1026,1747,5316,4982,6291
12,N/A,Mishima: A Life in Four Chapters,lowbrow,Paul Schrader,1985,14716,['Drama'],Japan,4.30154253873335,15,29,30,168,186,812,1313,3693,3479,4992
13,N/A,Cleaners,lowbrow,Glenn Barit,2019,195,['Comedy'],Philippines,4.52051282051282,1,1,0,2,0,6,10,37,30,108
14,N/A,It's Such a Beautiful Day,lowbrow,Don Hertzfeldt,2012,26129,"['Drama', 'Animation']",USA,4.29708370010333,66,133,85,365,381,1543,2232,6204,5109,10011
15,N/A,Perfect Blue,lowbrow,Satoshi Kon,1997,77687,"['Animation', 'Thriller']",Japan,4.28704287718666,59,144,109,545,831,3712,7271,22844,18555,23617
16,N/A,Eternity and a Day,lowbrow,Theo Angelopoulos,1998,6385,['Drama'],France,4.29115113547377,12,21,23,86,101,365,582,1530,1328,2337
17,N/A,The Lord of the Rings: The Two Towers,lowbrow,Peter Jackson,2002,258180,"['Fantasy', 'Adventure', 'Action']",New Zealand,4.27300526764273,419,1127,587,3695,3247,19249,20652,68296,44556,96353
18,N/A,Nomadland,lowbrow,Chloé Zhao,2020,2614,['Drama'],USA,4.26989288446825,1,5,4,34,45,132,202,669,849,674
19,N/A,War and Peace,lowbrow,Sergey Bondarchuk,1966,2184,"['Drama', 'History', 'War', 'Romance']",Russian Federation,4.27564102564103,4,5,5,21,38,130,200,552,513,716
20,N/A,Date Wine,lowbrow,Radwan El-Kashef,1998,241,"['History', 'Drama']",Egypt,4.41078838174274,0,0,0,2,3,15,13,58,42,108
21,N/A,Love Exposure,lowbrow,Sion Sono,2008,12062,"['Romance', 'Drama', 'Action', 'Comedy']",Japan,4.24821754269607,45,73,61,195,256,757,1136,2678,2478,4383
